Station, start_time, finish_time, During, lot, number_of_lot
1, 0.0, 2.45, 2.45, 1, 1
2, 2.45, 3.95, 1.5, 1, 1
3, 3.95, 5.9, 1.95, 1, 1
4, 5.9, 8.0, 2.1, 1, 1
1, 0.0, 1.55, 1.55, 1, 2
2, 1.55, 2.3, 0.75, 1, 2
1, 1.55, 3.1, 1.55, 2, 2
3, 2.3, 3.5, 1.2, 1, 2
2, 3.1, 3.85, 0.75, 2, 2
4, 3.5, 4.55, 1.05, 1, 2
3, 3.85, 5.05, 1.2, 2, 2
4, 5.05, 6.1, 1.05, 2, 2
1, 0.0, 1.25, 1.25, 1, 3
2, 1.25, 1.75, 0.5, 1, 3
1, 1.25, 2.5, 1.25, 2, 3
3, 1.75, 2.7, 0.95, 1, 3
2, 2.5, 3.0, 0.5, 2, 3
4, 2.7, 3.4, 0.7, 1, 3
1, 2.5, 3.75, 1.25, 3, 3
3, 3.0, 3.95, 0.95, 2, 3
2, 3.75, 4.25, 0.5, 3, 3
4, 3.95, 4.65, 0.7, 2, 3
3, 4.25, 5.2, 0.95, 3, 3
4, 5.2, 5.9, 0.7, 3, 3
1, 0.0, 1.1, 1.1, 1, 4
2, 1.1, 1.475, 0.375, 1, 4
1, 1.1, 2.2, 1.1, 2, 4
3, 1.475, 2.3, 0.825, 1, 4
2, 2.2, 2.575, 0.375, 2, 4
4, 2.3, 2.825, 0.525, 1, 4
1, 2.2, 3.3, 1.1, 3, 4
3, 2.575, 3.4, 0.825, 2, 4
2, 3.3, 3.675, 0.375, 3, 4
4, 3.4, 3.925, 0.525, 2, 4
1, 3.3, 4.4, 1.1, 4, 4
3, 3.675, 4.5, 0.825, 3, 4
2, 4.4, 4.775, 0.375, 4, 4
4, 4.5, 5.025, 0.525, 3, 4
3, 4.775, 5.6, 0.825, 4, 4
4, 5.6, 6.125, 0.525, 4, 4
